"key","section","title","file_candidates","caption","todo"
"key_quantity_summary","Assessment outputs","Key quantity summary","tables/generated/key-quantity-summary.csv;key-quantity-summary.csv","Summary statistics for key derived quantities from the selected {assessment_year} {species_label} assessment models.","Run the plot task so the report bundle includes key-quantity-summary.csv."
"recent_quantity_summary","Assessment outputs","Recent quantity summary","tables/generated/recent-quantity-summary.csv;recent-quantity-summary.csv","Latest and recent-average values for key derived quantities from the selected {assessment_year} {species_label} assessment models.","Run the plot task so the report bundle includes recent-quantity-summary.csv."
"quantity_definitions","Assessment outputs","Quantity definitions","tables/generated/quantity-definitions.csv;quantity-definitions.csv","Definitions and units for quantities shown in the assessment figures and tables.","Run the plot task so the report bundle includes quantity-definitions.csv."
"change_impact_summary","Assessment outputs","Change impact summary","tables/generated/change-impact-summary.csv;change-impact-summary.csv","Summary of how named model-development changes affect the latest key assessment quantities.","Run the plot task with named sensitivity tokens so the report bundle includes change-impact-summary.csv."
"fisheries_definitions","Data inputs","Fishery definitions","tables/fisheries_definitions.csv;Tables/fisheries_definitions.csv","Definition of fisheries for the {assessment_year} {species_label} stock assessment in the {assessment_area}.","Export the final {assessment_year} fishery definitions from the input-preparation pipeline."
"tag_definitions","Data inputs","Tag recapture and reporting groups","tables/tag_definitions.csv;Tables/tag_definitions.csv","Definition of fisheries and associated tag recapture and reporting-rate groupings.","Export the final {assessment_year} tag recapture and reporting-rate groups."
"grid_description","Model configuration","Structural uncertainty grid","tables/grid_description.csv;Tables/grid_description.csv","Structural uncertainty grid for the {assessment_year} {species_label} stock assessment. Diagnostic settings should be marked in the source table.","Fill from the agreed {assessment_year} uncertainty axes and levels."
"reference_point_symbols","Management quantities","Reference point symbol definitions","tables/reference_point_symbols.csv;Tables/reference_point_symbols.csv","Description of symbols used in yield and stock-status analyses.","Update the year ranges and reference-point definitions for the final {assessment_year} assessment."
"grid_outcomes","Management quantities","Reference point summaries","tables/grid_outcomes.csv;Tables/grid_outcomes.csv;reference-points.csv","Summary of reference points over the structural uncertainty grid and estimation uncertainty where available.","Generate from the final {assessment_year} management-advice grid."
"grid_diagnostics","Diagnostics","Grid convergence and jitter summary","tables/grid_diagnostics.csv;Tables/grid_diagnostics.csv;diagnostics-summary.csv","Objective functions, gradients, jitter improvements, Hessian status, and key stock-status diagnostics for grid models.","Generate from the final {assessment_year} diagnostics pipeline."
